date,monthly anomaly,monthly unc.,annual anomaly,annual unc.,five-year anomaly,five-year unc.,ten-year anomaly,ten-year unc.,twenty-year anomaly,twenty-year unc.
1850/01/01,-0.715,0.308,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1850/02/01,-0.229,0.303,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1850/03/01,-0.416,0.282,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1850/04/01,-0.638,0.204,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1850/05/01,-0.635,0.216,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1850/06/01,-0.390,0.208,-0.479,0.123,NaN,NaN,NaN,NaN,NaN,NaN
1850/07/01,-0.268,0.178,-0.443,0.121,NaN,NaN,NaN,NaN,NaN,NaN
1850/08/01,-0.247,0.184,-0.464,0.119,NaN,NaN,NaN,NaN,NaN,NaN
1850/09/01,-0.463,0.179,-0.484,0.123,NaN,NaN,NaN,NaN,NaN,NaN
1850/10/01,-0.612,0.205,-0.484,0.130,NaN,NaN,NaN,NaN,NaN,NaN
1850/11/01,-0.568,0.271,-0.464,0.128,NaN,NaN,NaN,NaN,NaN,NaN
1850/12/01,-0.526,0.297,-0.454,0.128,NaN,NaN,NaN,NaN,NaN,NaN
1851/01/01,-0.290,0.286,-0.453,0.124,NaN,NaN,NaN,NaN,NaN,NaN
1851/02/01,-0.477,0.315,-0.458,0.121,NaN,NaN,NaN,NaN,NaN,NaN
1851/03/01,-0.653,0.303,-0.450,0.120,NaN,NaN,NaN,NaN,NaN,NaN
1851/04/01,-0.640,0.276,-0.415,0.120,NaN,NaN,NaN,NaN,NaN,NaN
1851/05/01,-0.391,0.186,-0.397,0.124,NaN,NaN,NaN,NaN,NaN,NaN
1851/06/01,-0.281,0.191,-0.370,0.128,NaN,NaN,NaN,NaN,NaN,NaN
1851/07/01,-0.252,0.161,-0.371,0.135,NaN,NaN,NaN,NaN,NaN,NaN
1851/08/01,-0.309,0.204,-0.375,0.140,NaN,NaN,NaN,NaN,NaN,NaN
1851/09/01,-0.367,0.178,-0.386,0.136,NaN,NaN,NaN,NaN,NaN,NaN
1851/10/01,-0.187,0.280,-0.379,0.135,NaN,NaN,NaN,NaN,NaN,NaN
1851/11/01,-0.350,0.268,-0.367,0.140,NaN,NaN,NaN,NaN,NaN,NaN
1851/12/01,-0.202,0.294,-0.358,0.140,NaN,NaN,NaN,NaN,NaN,NaN
1852/01/01,-0.302,0.404,-0.346,0.142,NaN,NaN,NaN,NaN,NaN,NaN
1852/02/01,-0.535,0.318,-0.351,0.141,NaN,NaN,NaN,NaN,NaN,NaN
1852/03/01,-0.782,0.275,-0.348,0.145,NaN,NaN,NaN,NaN,NaN,NaN
1852/04/01,-0.557,0.279,-0.351,0.141,NaN,NaN,NaN,NaN,NaN,NaN
1852/05/01,-0.239,0.224,-0.365,0.144,NaN,NaN,NaN,NaN,NaN,NaN
1852/06/01,-0.177,0.155,-0.348,0.142,-0.381,0.089,NaN,NaN,NaN,NaN
1852/07/01,-0.112,0.167,-0.354,0.139,-0.370,0.088,NaN,NaN,NaN,NaN
1852/08/01,-0.366,0.176,-0.348,0.146,-0.368,0.086,NaN,NaN,NaN,NaN
1852/09/01,-0.332,0.184,-0.324,0.145,-0.366,0.086,NaN,NaN,NaN,NaN
